Percentile;0-5%;5-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-95%;95-99%;99-100%
Germany (log scale);2.30;2.35;2.45;2.50;2.55;2.60;2.65;2.80;3.00;3.25;3.50;3.70;4.00
Brazil (log scale);2.05;2.15;2.20;2.30;2.35;2.40;2.50;2.60;2.75;3.00;3.20;3.55;3.90
