Percentile;0-5%;5-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-95%;95-99%;99-100%
Deutschland;1200;1350;1550;1700;1900;2100;2300;2600;3000;3800;4700;6300;10500
Brasilien;150;200;250;300;400;500;600;800;1100;1700;2300;3500;6500
